Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Diane Peppler Resource Center Inc,0,620 E PORTAGE AVE SAULT S MARIE  MI 49783 ,38-2300187,NA,WWW.DPRCENTER.ORG,906-635-0566,Human Service,Domestic Violence and Sexual Assault Resource Center for Chippewa  Luce & Mackinac Counties,TO PROVIDE AN ATMOSPHERE FREE FROM DOMESTIC AND SEXUAL VIOLENCE IN WHICH SURVIVORS CAN RECOGNIZE THEIR OPTIONS TO HAVE THE OPPORTUNITY TO CONTINUE LIVING VIOLENCE FREE. TO EDUCATE OUR COMMUNITY AND SYSTEMS WITHIN IT THAT DOMESTIC AND SEXUAL VIOLENCE IS PRIMARILTY AGAINST WOMEN AND CHILDREN AND IS THE RESULT OF IMBALANCE OF POWER AND CONTROL. TO PROVIDE ON-GOING PREVENTION PROGRAMS AND SERVICES TO REDUCE THE INCIDENTS OF PHYSICAL AND EMOTIONAL ABUSE AGAINST PARTNERS AND CHILDREN  THEREFORE  CREATING A HEALTHIER ENVIRONMENT.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/dprcenter,Domestic Assault Survivors  6:00 pm - 7:00 pm  March 16  2018,Youth Group   6:00 pm - 8:00 pm  March 15  2018,Trauma-informed Survivor Yoga  10:00 am - 12:00 pm  March 19  2018,03/12/2018,
Michigan Habilitation & Learning Center Inc,0,6784 W KNOLLWOOD W BLOOMFIELD   MI 48322 ,38-2886261,NA,NA,248-539-3209,Human Service,Non profit organization,Provide residential care services for developmentally disabled persons in group home setting,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
JUNCTION OF H O P E INC,0,4136 Peet Rd Chesaning  MI 48616 USA,38-3386485,junctionofhope@yahoo.com,www.junctionofhope.org,989-845-1433,Human Service,The Junction of Hope is America???s first nonprofit 501(c)3 restaurant. Our mission is to employ adults with special needs in Saginaw  Shiawassee and Genesee Counties. Though we operate as a restaurant  our real purpose is to be an employer of people with special needs. We aim to educate  provide support and guidance  allowing them the opportunity to seek outside employment within our community.,The Junction of H.O.P.E. is Americas first nonprofit 501 (c)3 restaurant. Our mission is to employ adults with special needs in Saginaw  Shiawassee and Genesee Counties. Though we operate as a restaurant  our real purpose is to be an employer of people with special needs. We aim to educate  provide support and guidance  allowing them the opportunity to seek outside employment within their community.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/TheJunctionOfHope,NA,NA,NA,03/12/2018,
Community Sharing,0,PO BOX 405 HIGHLAND   MI 48357 ,90-0175714,NA,WWW.COMMUNITY-SHARING.ORG,248-889-0347,Human Service,We provide food  clothing and financial assistance  tutoring and more thru the generous donations from our local community.,TO PROVIDE FOOD  CLOTHING  EDUCATION AND EMERGENCY FINANCIAL ASSISTANCE TO THOSE IN NEED WHILE RESPECTING THEIR DIGNITY AND FOSTERING THEIR INDEPENDENCE.,We welcome volunteers to help out in all facets of our organization including the food pantry  clothes closet  office assistance and pet pantry. We always need help with our fantastic Garage Sale & Empty Bowl Projects and other fun fundraising endeavors. And  our Educational Assistance Tutoring Program is a great place to volunteer... you can make a difference in a childs life. Its easy to volunteer. Just send us an email indicating your area of interest. Our volunteer coordinator will contact you to discuss your interests and invite you to the next orientation. All volunteers must attend an orientation so that the mission of Community Sharing is consistently presented.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CommunitySharingOutreach/,Milford Easter Dash  Saturday  March 31 at 8:30 AM - 11 AM EDT  Oak Pointe Church - Milford  1250 South Hill Rd  Milford 48381,NA,NA,03/12/2018,
Association for Little Friends Inc,0,1025 MAAS ST NEGAUNEE   MI 49866 ,38-2132829,NA,NA,906-475-4942,Human Service,Non profit organization,PROVIDE DAY CARE SERVICES TO CHILDREN ON A NON-DISCRIMINATORY OPPORTUNITY BASIS WITHOUT REGARD TO THEIR RACE  CREED  RELIGION  SEX OR ABILITY TO PAY,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Vocational Independence Program Transportation VIP,0,G5069 VAN SLYKE ROAD  FLINT  MI 48507,27-0864763,lindell@viprogram.org,http://viprogram.org/contact.html,(810) 238-3671,Human Service,Vocational Skill Building Skill Building (Without a Vocational Emphasis) Supported/Integrated Employment Services Door to Door Transportation,Skill Building Service works to achieve improved quality of life for the individuals enrolled  and to optimize the employability options for most.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Faith Connections Inc,0,22231 Outer Dr Dearborn   MI 48124,13-4212777,NA,NA,313-565-8655,Human Service,To provide public guardianship services to developmentally disabled and mentally ill individuals  many of the clients are indigent.,provide public guardianship services to developmentally disabled and mentally ill individuals,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Carsons Adult Foster Care Inc,0,19384 James Couzens Fwy Detroit  MI 48235,38-2125144??,NA,NA,(313) 863-7050??,Human Service,RESIDENTIAL CARE & SUPPORT SERVICE,RESIDENTIAL CARE & SUPPORT SERVICE,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Heal Africa,0,PO Box 545 Caledonia  MI 49316 USA,20-4104936,??contact-us@healafrica.org,https://healafrica.org/,(269) 205-2010,Human Service,HEAL Africa compassionately serves vulnerable people and communities through a holistic approach to Healthcare  Education  community Action  and Leadership development in response to changing needs.,We work in a very challenging context  surrounded by poverty and conflict. Isolated from the world by both distance and information  we recognize the importance of partnerships in order to grow and improve our services.??,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Little Red House Inc,0,311 E EXCHANGE ST SPRING LAKE   MI 49456,35-2119160,NA,http://www.thelittleredhouse.org/contact/,(616) 846-5720,Human Service,provide a professional and delightful home-like atmosphere for those adults in our community who are struggling with physical  cognitive and psychosocial limitations,Certified health-care providers and trained caregivers are on hand to meet participants??? needs with skillful  thoughtful attention,Participants enjoy an exceptional adult day care experience in a safe and welcoming setting,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thelittleredhouseinc/,Meetings held every Thursday morning from 10:00am ??? 11:00am at The Little Red House.,NA,NA,03/12/2018,
Inpro Enterprises Inc,0,39000 CHASE ST ROMULUS  MI 48174,27-4617529,NA,https://www.inproenterprises.org/,734-893-1167,Human Service,InPro Enterprises helps people with brain injuries  spinal cord injuries and other disabilities find increased independence and productivity through innovative vocational rehabilitation programs.,Caring  experienced professionals work with each individual to identify their vocational capabilities  strengths  and occupational needs and goals.,NA,Photo save,3990 Second Street Wayne  MI 48184,(734) 331-9075,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Samaritan House,0,62324 VAN DYKE RD WASHINGTN TWP   MI 48094,38-3213283,samaritanhouse@sbcglobal.net,http://www.samaritanhousemichigan.org/home,586-336-9956,Human Service,Samaritan House provides assistance to low income families and individuals who reside within our??service area,"We provide help to poor through Food Distribution Shelter & Utility Assistance Free Tax Preparation Program Back-to-School Backpacks and other assistance
",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/SamaritanHouse/,??20th Annual Samaritan House Golf Outing,NA,NA,03/12/2018,
Lee Homes Inc,0,215 E COMMERCE ST MILFORD  MI 48381,38-2139723,NA,NA,2486852052,Human Service,Operate residential care facilities that house provide for developmentally-disabled adults.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,03/12/2018,
Family Service of Detroit and Wayne County,0,120 Parsons St Detroit  MI 48201,38-1358187,rreed@fsiwc.org,www.fsiwc.org,(313)274-5840,Human Service,THE PRIMARY PURPOSE OF THE ORGANIZATION IS TO STRENGTHEN & ENHANCE FAMILY LIFE IN THE COMMUNITY.,NA,NA,NA,NA,NA,This organization is not required to file an annual return with the IRS.,NA,NA,NA,NA,03/12/2018,
Allen Neighborhood Center,0,1611 E KALAMAZOO ST LANSING  MI 48912,38-3502484,joann@allenneighborhoodcenter.org,http://allenneighborhoodcenter.org/,5173672468,Human Service,Allen Neighborhood Center is a place-based organization that serves as a hub for neighborhood revitalization and for activities that promote the health and well-being of Lansing???s Eastside community and other stakeholders.,Our programs are Outreach and Engagement Food and Building Community,NA,Photo save,NA,NA,This organization is not required to file an annual return with the IRS.,https://www.facebook.com/AllenNeighborhoodCenter/,Breadbasket (Every Tuesday),Allen Farmers Market(Every Wednesday),NA,03/12/2018,
Old Newsboys of Flint ,0,6255 Taylor Dr Flint  MI 48507 ,38-6020365,NA,WWW.OLDNEWSBOYSOFFLINT.ORG,810-744-1840,Human Service,The Old Newsboys is a 501(c)(3) non-profit organization. We do not receive funding from the Federal or State government  or the United Way. We support our programs through fundraisers  a few small foundation grants  and donors like you.,PROVIDE CLOTHING  TOYS AND GIFTS TO NEEDY FAMILIES,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/onbflint/about/?ref=page_internal,Old Newsboys of Flint does not have any upcoming events.,NA,NA,13/3/2018,
Assistance League?? of Southeastern Michigan,0,P.O. Box 80932 Rochester  MI 48308 USA,38-3181336,rosedirk23@comcast.net,www.semich.AssistanceLeague.org,248-656-0414,Human Service,Assistance League of Southeastern Michigan  serving Wayne  Oakland  and Macomb counties  is a nonprofit  all-volunteer organization whose purpose is to clothe  feed  educate  and comfort children and adults through community-based programs.,Assistance League of Southeastern Michigan  founded on 1993 and serving Wayne  Oakland and Macomb counties  is a nonprofit  501(c)(3)  hands-on  all member volunteer organization who purpose is to clothe  feed  educate  and comfort children and adults through community-based programs. ReSale Connection is the major financial resource of Assistance League. The shop is managed and staffed by volunteers who are committed to the chapters mission.,NA,Photo save,204 S. Main Street Rochester  48307 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,www.facebook.com/pages/Assistance-League-of-Southeastern-Michigan-ReSale-Connection/134608375294,CHIP in FORE Assistance League - June 26  2018  ,NA,NA,13/3/2018,
North Berrien Senior Center Inc,0,PO Box 730 Coloma  MI 49038 ,38-2118819,designer@genesiswebd.com,WWW.NORTHBERRIENSENIORCENTER.ORG,269-468-3366,Human Service,The North Berrien Senior Center has been committed to serving persons 60 years of age or older and their spouses for over 35 years!,Our service area primarily consists of the cities of Coloma and Watervliet and the townships of Bainbridge  Coloma  Hager and Watervliet. All area seniors are welcome to participate in any of our programs  join us or call anytime if you have any questions. Were here for you! ,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/northberrienseniorcenter/about/?ref=page_internal,Bridge-1:00  Art Class  Both @ 1:00  Walking 8:30  Tap Class 10:00  22th Mar 2018,Chair Exercise 10:00  Cardio-Strength 2:30  Line Dancing 1:00  Book Club 2:00  Commodities  21st Mar 2018,Potluck & Bingo Noon  No Reg Activities  No Onsite Nutrition  23rd Mar 2018,13/3/2018,
Macomb Cultural and Economic Partnership,0,PO BOX 791 MOUNT CLEMENS  MI 48046 ,38-2062103,NA,www.mcepmacomb.com,586-783-6008,Human Service,The Macomb Cultural & Economic Partnership (MCEP) is a 501(c)(3)  non-profit organization  dedicated to fostering cooperation between the leaders and educators of Macomb County and the rest of the world.,The Macomb Cultural & Economic Partnership (MCEP) is a 501(c)(3)  non-profit organization  dedicated to educating Macomb County elected officials as well as business  school and community leaders about the need for economic development and cooperation between Macomb County and the world.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/MCEP99/about/?ref=page_internal,Macomb Cultural & Economic Partnership (MCEP) does not have any upcoming events.,NA,NA,13/3/2018,
Reach Foundation,0,1793 Charter St Lincoln Park  MI 48146 ,38-3149126,NA,NA,313-381-5072,Human Service,Non profit organization,PROVIDE RESIDENTIAL CARE SERVICES TO HANDICAPPED INDIVIDUALS,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,13/3/2018,
Alternative Pathways,0,912 Ardmore St SE Grand Rapids   MI 49507 ,38-3371748,NA,WWW.ALTERNATIVEPATHWAYS.ORG,616-247-3589,Human Service,Alternative Pathways is a non-profit organization born from a dream for services that could be designed and provided individually to people who need it.  Not overbearing and not under-available but just right based on when  why  where  and [most importantly] by whom it is needed. ,Alternative Pathways  in partnership with people of varying levels of ability  is a supportive  committed  loving  independent  and financially secure community  providing individually tailored services.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,13/3/2018,
Chamberlain House Inc,0,121 CHAMBERLAIN ST PONTIAC   MI 48342 ,38-1405925,NA,NA,248-858-9200,Human Service,Non profit organization,MAINTAIN A HOME FOR THE MENTALLY DISABLED.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,13/3/2018,
Parkview Adult Foster Care Home Inc,0,214 E CENTRAL AVE ZEELAND  MI 49464 ,38-2681268,NA,NA,616-772-4424,Human Service,"Parkview Adult Foster Care Home  Inc.  known by most in the local community as ""Parkview Home "" is an Historical home in the city of Zeeland  Michigan.",Providing Health  Safety & Quality of Life for adults with developmental disabilities in Zeeland  Michigan.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Parkview-Adult-Foster-Care-Home-Inc-185225668161806/about/?ref=page_internal,Parkview Adult Foster Care Home  Inc. does not have any upcoming events.,NA,NA,13/3/2018,
ASK FAMILY SERVICES,0,445 W MICHIGAN AVE STE 102 KALAMAZOO  MI 49007 ,20-0996694,NA,WWW.ASKFORKIDS.ORG,269-343-5896,Human Service,ASK is a non-profit (501c3) organization dedicated to supporting families and youth by improving the system of care for children???s mental health. Through collaboration with families  youth and community partners  we hope to guide this system toward becoming more family-driven  youth-guided  and culturally competent.,TO PROVIDE ADVOCACY  TRAINING AND SUPPORT TO FAMILIES RAISING CHILDREN WITH SPECIAL MENTAL HEALTH NEEDS SO THEY BETTER ACHIEVE THEIR POTENTIAL AND BECOME INTEGRATED MEMBERS OF THE COMMUNITY.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/advocacyservicesforkids,WRAP For Families  445 W Michigan Ave  Kalamazoo  MI 49007  USA  Tue  March 20  1:00pm ??? 2:30pm  ,IEP Checkup  Wed  March 21  11am ??? 1pm  445 W Michigan Ave  Kalamazoo  MI 49007  USA,Parent Project  Thu  March 22  5:30pm ??? 8:30pm    ASK Family Services Building 445 W. Michigan Ave  Suite 102 Kalamazoo  MI. 49007,13/3/2018,
Rainbow Homes Non-Profit Housing Corporation,0,2111 ADELPHA AVE APT B HOLT  MI 48842 ,38-3457782,NA,NA,517-699-8454,Human Service,Non profit organization,NON-PROFIT ORGANIZATION FOR THE PURPOSE TO HOUSE RESIDENTS WHO NEED HELP WITH MEALS  MEDICATION  LAUNDRY  TRANSPORTATION  HOUSEKEEPING & ETC.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,13/3/2018,
Book Industry Charitable Foundation,0,713 W Ellsworth Road  Suite A Ann Arbor  MI 48108 USA,38-3279018,info@bincfoundation.org,www.bincfoundation.org,734-477-4789,Human Service,The Book Industry Charitable Foundation is a 501(c)(3) nonprofit  charitable organization coordinating programs to strengthen the bookselling community through charitable programs that support employees and their families. Established in 1996  as the Borders Group Foundation the core program provides assistance to booksellers who have a demonstrated financial need arising from severe hardship and/or emergency circumstances. Since its inception  the organization has provided over $5 million in charitable assistance.,The Book Industry Charitable Foundation provides financial assistance to booksellers in the United States who are experiencing a personal financial emergency. These booksellers are regular full-time or part-time employees  employed for a minimum of 90 days  at a bricks-and-mortar bookstore.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/BookIndustryCharitableFoundation,Book Industry Charitable Foundation does not have any upcoming events.,NA,NA,13/3/2018,
Radclift Inc,0,23530 RADCLIFT ST OAK PARK   MI 48237 ,01-0572406,NA,NA,NA,Human Service,RESIDENTAL CARE FOR THE MENTALLY DISABLED,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,13/3/2018,
GRAND RAPIDS HQ,0,320 State ST SE Grand Rapids  MI 49503 USA,46-5549116,ssteininger@hqgr.org,WWW.HQGR.ORG,616-406-3945,Human Service,HQ is a drop-in center for youth ages 14 thru 24 who are experiencing unsafe or unstable housing. To create a safe and affirming space where youth can find rest  build connections and pursue their passions to realize their dreams.,To provide a safe and affirming space for youth to find rest  build connections and pursue their passions to realize their dreams.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/HQGrandRapids,Notos Spring Charity Wine Fest  Friday  March 23 at 6 PM - 10 PM EDT  6600 28th St SE  Grand Rapids  Michigan 49546,Walk for Good Food  Sunday  May 6 at 1:30 PM - 4:30 PM EDT  10 E Park Pl NE  Grand Rapids  Michigan 49503,NA,13/3/2018,
