organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
Extreme Angel Foundation,0,"149 E THIRD IMALY CITY, MI 48444",46-2309642,extremecalendar@gmail.com,www.extremedance.biz,810-724-8414,Youth Development,Our mission is to create a positive environment for children with life altering conditions. Camps for families to unite will be available at no cost.,Teaching Dance and fitness club,NA,Photo save,1789 S. Cedar St. Imlay City Michigan 48444 USA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Extremeangelfoundation/,NA,NA,NA,12/04/2017,
Caledonia Youth Lacrosse Club,0,"PO BOX 433 CALEDONIA, MI 49316",46-2116372,board@caledoniayouthlacrosse.com,www.caledoniayouthlacrosseclub.com,NA,Youth Development,Caledonia Youth Lacrosse Club provides the youth of Caledonia and surrounding areas the opportunity to learn and play the game of lacrosse.,Our mission is to help kids from the Caledonia community learn the game of Lacrosse while continuously preparing our players for the next level of the sport and ultimately life.,"We are looking for ideas and help with this area for our organization. If you have any ideas, please email our board and someone will be in contact with you.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Play It Forward,0,"3240 E SAGINAW ST LANSING, MI 48912",46-2209320,NA,NA,NA,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Advocacy for Better Youth,0,"17620 SHAFTSBURY AVE DETROIT, MI 48219",46-1567935,NA,NA,NA,Youth Development,NA,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Childrens Recreation Committee,0,"506 S 4TH ST ST CLAIR , MI 48079",01-0783935,NA,NA,810-329-3798,Youth Development,Nonprofit Organization,Youth Development Programs ,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Hang On To the Dream Foundation,0,"200 E Big Beaver Rd Troy , MI 48083",04-3785573,NA,www.hangontothedream.org,NA,Youth Development,Hang On to the Dream Helps Young Nebraska Lifeguard With No Arm Reach For Her Dream,"present you with needed items, equipment, opportunities or finances that will  help you to Hang On to the Dream",Individual contributions from people like you is what makes all of this possible. Your help truly is essential to the ongoing success of The Hang On to the Dream Foundation,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,12/04/2017,
Gray Institute,0,"5353 WEST US 223 SUITE B ADRIAN, MI 49221",46-2223065,info@grayinstitute.com,www.grayinstitute.com,517-266-4653,Youth Development,"Gray Institute is internationally acclaimed for its innovation, development, mastery, and delivery of Applied Functional Science.","AFS is the convergence of sciences that allows for purposeful movement. The convergence of Physical Sciences (the world we life in), Biological Sciences (the miracle of the human body), and Behavioral Sciences (the power of the mind and spirit) is the DNA of AFS. For the Physical Sciences, the truths of Environment, Gravity, Ground Reaction Force, Mass, and Momentum are considered and leveraged",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/GrayInstitute,NA,NA,NA,12/04/2017,
Michigan State University GRATIOT COUNTY 4-H EXCHANGE CLUB,0,"219 N STATE ST ALMA, MI 48801",41-2267417,msue.gratiot@county.msu.edu,www.msue.anr.msu.edu,989-463-4444,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY FREEDOM RIDERS 4-H CLUB,0,"6180 W SANBORN RD LAKE CITY, MI 49651",04-3785934,msue.missaukee@county.msu.edu,www.msue.anr.msu.edu,231-839-7193,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY PAINT CREEK 4-H CLUB,0,"705 N ZEEB RD ANN ARBOR, MI 48103",04-3790812,zeebcss@ewashtenaw.org,www.msue.anr.msu.edu,734-222-3800,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/04/2017,
MICHIGAN STATE UNIVERSITY TURN N BURN 4-H CLUB,0,"527 STEPHENSON ST NORWAY, MI 49870",06-1828035,dickinson@county.msu.edu,www.msue.anr.msu.edu,906-774-0363,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY 4-H HAPPY HUSTLERS,0,"121 E MAPLE ST MASON, MI 48854",05-0534721,msue.ingham@county.msu.edu,www.msue.anr.msu.edu,517-676-7312,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,517-676-7207,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY 4-H HAPPY HUSTLERS,0,"121 E MAPLE ST MASON, MI 48854",04-3752598,msue.ingham@county.msu.edu,www.msue.anr.msu.edu,517-676-7312,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,517-676-7207,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY 4-H HAPPY HUSTLERS,0,"121 E MAPLE ST MASON, MI 48854",04-3752608,msue.ingham@county.msu.edu,www.msue.anr.msu.edu,517-676-7312,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,517-676-7207,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY 4-H ECHOING HOOFBEATS,0,"121 E MAPLE ST MASON, MI 48854",04-3752686,msue.ingham@county.msu.edu,www.msue.anr.msu.edu,517-676-7312,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,517-676-7207,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
MICHIGAN STATE UNIVERSITY COUNTY LINE 4-H CLUB,0,"121 E MAPLE ST MASON, MI 48854",04-3752691,msue.ingham@county.msu.edu,www.msue.anr.msu.edu,517-676-7312,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,517-676-7207,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",12/04/2017,
